년도,합계,자성대부두,신선대부두,감만부두,우암부두,감천한진,신감만부두,일반부두,신항1부두,신항2부두,신항3부두,신항4부두,신항5부두,다목적부두등
1994,48140,0,0,0,0,0,0,48140,0,0,0,0,0,0
1995,59775,0,622,0,0,0,0,59153,0,0,0,0,0,0
1996,4809217,1673341,1302513,0,21171,0,0,1812192,0,0,0,0,0,0
1997,5246646,1757757,1413847,23,316902,11848,0,1746269,0,0,0,0,0,0
1998,5701360,1096650,1121949,891424,281571,348910,0,1960856,0,0,0,0,0,0
1999,6555803,995119,1160577,1458472,355761,449766,0,2136108,0,0,0,0,0,0
2000,7729508,1304180,1281914,1887418,342486,403174,0,2510336,0,0,0,0,0,0
2001,8073125,1272333,1319812,1922622,447704,432972,0,2677682,0,0,0,0,0,0
2002,9453858,1534639,1528424,2261533,502460,504269,481202,2641331,0,0,0,0,0,0
2003,10408238,1584468,1786165,2546451,533298,512285,745613,2699958,0,0,0,0,0,0
2004,11492416,1825568,1994931,2723891,549967,548111,976348,2873600,0,0,0,0,0,0
2005,11843166,2126618,1962001,2862251,577392,497693,1098625,2718586,0,0,0,0,0,0
2006,12038607,2212473,2054646,2558765,548082,503673,1144700,2778554,237714,0,0,0,0,0
2007,13265127,2275402,2400910,2842963,531409,574824,1250360,2809608,446121,133530,0,0,0,0
2008,13454506,2103063,2282941,2722509,564691,556152,1210606,3202849,518839,292775,0,0,0,81
2009,11965485,1898370,2655797,2076156,552024,43283,1166042,888759,965591,796830,922419,0,0,214
2010,14158214,1581497,2688412,1873341,612496,1186,1228348,707637,701124,2389293,1533368,837088,0,4424
2011,16076550,1479816,2570889,1803991,640339,187,1240871,661029,928205,3213108,1952505,1576776,21,8813
2012,17046181,1286489,2372698,1628853,569922,468,1141941,603117,1220233,3280017,2442636,1988675,459969,51163
2013,17686100,1366534,1744861,1465206,514920,264,1032732,598215,1747307,3299457,2375614,2391890,1099366,49734
2014,18683288,1476998,2190665,1136003,46862,2579,1185608,678177,1712729,3895202,2467741,2552383,1305610,32731
2015,19468725,1729414,2015853,1132395,2718,3234,1110635,596629,2420860,4296221,2555966,2320661,1261535,22604
2016,19456292,1867428,1954293,1171826,2465,1880,1069650,527801,2418702,4626435,1925545,2322166,1541859,26242
2017,20493479,2073695,2260708,1286369,538,1146,943275,447729,2689256,4531302,2219402,2069198,1940079,30782
2018,21662573,1926182,2490203,1287910,1476,624,970504,320429,2477785,4938446,2770535,2061131,2269682,147666
2019,21992001,1923735,2404009,1444404,329,1427,1008637,178400,2295359,5501091,2783576,2167478,2119075,164481
2020,21823997,1826714,2307478,1509062,232,1855,1033422,166895,2743856,4837172,2954267,2110318,2131414,201312
2021,22706131,1982803,2376489,1498394,0,1012,1016701,287905,2737054,5086577,2939071,2237903,2315414,226808
2022,22078196,1917869,2341909,1424086,0,518,890661,255386,2684136,4827307,2672948,2257767,2433623,371986
2023,23153511,1855791,2534951,1400828,0,622,855699,196556,2859977,4934689,2790461,2390656,2496909,836372
2024,24402022,1443380,2813335,1543293,0,872,468279,252367,3018315,4957906,3076160,2560274,2422973,1844868
