연도,월,연월,수출입구분,수출입구분설명,물동량
2003,2,2003-02,OT,수출환적,161074.5
2003,11,2003-11,IT,수입환적,170733.5
2006,1,2006-01,OT,수출환적,203348.25
2018,1,2018-01,OO,수출,413797.75
2013,6,2013-06,OO,수출,389650.25
2012,4,2012-04,OO,수출,383600.5
2018,3,2018-03,IT,수입환적,426936.25
2017,5,2017-05,II,수입,434753
2014,12,2014-12,II,수입,385736
2015,8,2015-08,IT,수입환적,429171
2019,9,2019-09,OO,수출,408790.5
2022,9,2022-09,OO,수출,384904.25
1993,7,1993-07,II,수입,118830
1995,4,1995-04,II,수입,187405.5
2001,4,2001-04,IT,수입환적,126275
2004,7,2004-07,OT,수출환적,199495
2006,11,2006-11,OO,수출,294017.25
2007,5,2007-05,IT,수입환적,262714.25
2010,9,2010-09,IT,수입환적,252317.75
2006,12,2006-12,IT,수입환적,220788
2012,12,2012-12,IT,수입환적,359519.5
2014,5,2014-05,II,수입,396793.75
2019,1,2019-01,II,수입,439584.75
2024,6,2024-06,OO,수출,468314.25
1993,11,1993-11,OO,수출,123835
1994,12,1994-12,II,수입,186371
1996,7,1996-07,II,수입,197541
1996,9,1996-09,II,수입,187918
1997,5,1997-05,OO,수출,191514
1998,11,1998-11,II,수입,248553.75
1999,10,1999-10,II,수입,289442.25
2002,9,2002-09,OO,수출,248186.5
2002,6,2002-06,OT,수출환적,165425.25
2004,10,2004-10,II,수입,289875.5
2005,12,2005-12,II,수입,278518.5
2005,4,2005-04,OT,수출환적,224497
2006,4,2006-04,IT,수입환적,217338.5
2003,12,2003-12,OT,수출환적,171480.75
2007,6,2007-06,II,수입,316283.75
2008,3,2008-03,OO,수출,357447
2008,4,2008-04,OO,수출,337609
2010,6,2010-06,OT,수출환적,274941
2012,10,2012-10,OO,수출,370084
2012,8,2012-08,OT,수출환적,314639.75
2014,11,2014-11,II,수입,387306.75
2014,5,2014-05,OT,수출환적,388978.25
2017,3,2017-03,IT,수입환적,443374.75
2014,2,2014-02,OO,수출,334191.25
2015,9,2015-09,OT,수출환적,418014.5
2015,4,2015-04,IT,수입환적,423247
2025,2,2025-02,OO,수출,437906.75
2021,4,2021-04,II,수입,463918
2021,1,2021-01,OO,수출,427910.75
2024,6,2024-06,II,수입,477174
1994,8,1994-08,II,수입,154516
1995,1,1995-01,II,수입,180551
1995,3,1995-03,OO,수출,165360
1995,7,1995-07,II,수입,189689.75
1996,12,1996-12,II,수입,214366.75
1998,4,1998-04,OO,수출,217210.5
1999,12,1999-12,OO,수출,215282.25
2001,5,2001-05,IT,수입환적,120628.25
2004,3,2004-03,IT,수입환적,198570
2002,8,2002-08,II,수입,222448.25
2004,10,2004-10,IT,수입환적,211547.75
2005,12,2005-12,IT,수입환적,217073.5
2004,3,2004-03,OT,수출환적,188143.25
2006,2,2006-02,OT,수출환적,199719.25
