연도, 컨물동량,증감율,수출입소계,수입,수출,환적소계,환적점유율,환적증감율
2013,17686,3.75,8934,4424,4509,8748,49.47,7.38
2014,18683,5.64,9254,4596,4658,9429,50.47,7.78
2015,19469,4.2,9364,4714,4650,10105,51.91,7.17
2016,19456,-0.06,9620,4801,4819,9836,50.55,-2.67
2017,20493,5.33,10186,5042,5144,10225,49.9,3.96
2018,21663,5.7,10233,5117,5116,11429,52.76,11.77
2019,21992,1.52,10354,5192,5162,11638,52.92,1.83
2020,21824,-0.76,9804,4853,4951,12020,55.08,3.28
2021,22706,4.04,10433,5208,5225,12273,54.05,2.1
2022,22078,-2.77,10311,5133,5178,11766,53.29,-4.13
2023,23154,4.9,10744,5330,5413,12408,53.59,5.5
2024,24402,5.4,10904,5409,5495,13496,55.3,8.77
2025,24882,2,10785,5363,5422,14097,56.7,4.4
